Book,Chapter,RefID,Num_1_Ratings,Num_2_Ratings,Num_3_Ratings,Num_4_Ratings,Num_5_Ratings,Num_6_Ratings,Num_7_Ratings,Num_8_Ratings,Num_9_Ratings,Num_10_Ratings,Votes,Weighted_Sum,Rating
AFFC,34,AFFC34,2,3,1,0,2,3,8,16,12,8,55,411,7.472727273
AFFC,35,AFFC35,3,0,0,1,0,0,4,11,15,8,42,338,8.047619048
AFFC,36,AFFC36,0,1,0,0,0,1,7,15,10,11,45,377,8.377777778
AFFC,37,AFFC37,2,1,0,0,2,2,9,11,7,7,41,310,7.56097561
AFFC,38,AFFC38,0,0,1,0,1,2,4,13,18,5,44,364,8.272727273
AFFC,39,AFFC39,0,1,1,0,0,1,1,11,13,6,34,283,8.323529412
AFFC,40,AFFC40,2,0,1,0,1,3,9,10,5,6,37,276,7.459459459
AFFC,41,AFFC41,1,1,0,0,1,2,6,9,9,8,37,295,7.972972973
AFFC,42,AFFC42,1,0,0,1,0,1,4,7,8,7,29,237,8.172413793
AFFC,43,AFFC43,0,1,0,1,0,0,1,8,13,6,30,254,8.466666667
AFFC,44,AFFC44,1,0,0,0,0,2,3,6,16,18,46,406,8.826086957
AFFC,45,AFFC45,1,0,1,0,0,1,3,13,16,5,40,329,8.225
AFFC,46,AFFC46,1,0,0,0,0,2,8,15,5,9,40,324,8.1
ADWD,1,ADWD1,2,0,1,0,4,13,37,54,51,30,192,1553,8.088541667
ADWD,2,ADWD2,0,1,0,0,1,6,42,54,32,16,152,1217,8.006578947
ADWD,3,ADWD3,2,0,1,2,11,27,42,31,14,16,146,1058,7.246575342
ADWD,4,ADWD4,5,0,1,0,0,4,23,45,44,22,144,1169,8.118055556
ADWD,5,ADWD5,1,0,1,2,2,6,27,38,45,20,142,1156,8.14084507
ADWD,6,ADWD6,1,0,0,0,7,17,38,35,15,12,125,939,7.512
ADWD,7,ADWD7,2,0,0,4,5,36,43,21,11,10,132,927,7.022727273
ADWD,8,ADWD8,5,0,1,1,0,0,7,13,44,101,172,1571,9.13372093
ADWD,9,ADWD9,0,1,0,2,3,9,37,37,11,12,112,853,7.616071429
ADWD,10,ADWD10,0,0,0,0,2,6,26,37,31,19,121,993,8.20661157
ADWD,11,ADWD11,1,3,2,1,0,4,14,51,29,13,118,938,7.949152542
ADWD,12,ADWD12,1,0,1,1,7,18,27,30,18,12,115,862,7.495652174
ADWD,13,ADWD13,3,1,0,1,0,3,8,36,46,17,115,955,8.304347826
